final_row_id,sample_id,is_synthetic,synthetic_id,class_label,original_row_id,original_source_index,mother_index,mother_original_row_id,mother_source_index,similarity_to_mother,similarity_bin,inside_similarity_interval,interval_deviation,rescue_assignment,candidate_global_id
0,orig_0,False,,Ativo,0,0,,,,,,,,,
1,orig_1,False,,Ativo,1,1,,,,,,,,,
2,orig_2,False,,Ativo,2,2,,,,,,,,,
3,orig_3,False,,Ativo,3,3,,,,,,,,,
4,orig_4,False,,Ativo,4,4,,,,,,,,,
5,orig_5,False,,Ativo,5,5,,,,,,,,,
6,orig_6,False,,Ativo,6,6,,,,,,,,,
7,orig_7,False,,Ativo,7,7,,,,,,,,,
8,orig_8,False,,Ativo,8,8,,,,,,,,,
9,orig_9,False,,Ativo,9,9,,,,,,,,,
10,orig_10,False,,Ativo,10,10,,,,,,,,,
11,orig_11,False,,Ativo,11,11,,,,,,,,,
12,orig_12,False,,Ativo,12,12,,,,,,,,,
13,orig_13,False,,Inativo,13,13,,,,,,,,,
14,orig_14,False,,Ativo,14,14,,,,,,,,,
15,orig_15,False,,Ativo,15,15,,,,,,,,,
16,orig_16,False,,Inativo,16,16,,,,,,,,,
17,orig_17,False,,Ativo,17,17,,,,,,,,,
18,orig_18,False,,Ativo,18,18,,,,,,,,,
19,orig_19,False,,Inativo,19,19,,,,,,,,,
20,orig_20,False,,Ativo,20,20,,,,,,,,,
21,orig_21,False,,Ativo,21,21,,,,,,,,,
22,orig_22,False,,Ativo,22,22,,,,,,,,,
23,orig_23,False,,Inativo,23,23,,,,,,,,,
24,orig_24,False,,Ativo,24,24,,,,,,,,,
25,orig_25,False,,Ativo,25,25,,,,,,,,,
26,orig_26,False,,Ativo,26,26,,,,,,,,,
27,orig_27,False,,Ativo,27,27,,,,,,,,,
28,orig_28,False,,Ativo,28,28,,,,,,,,,
29,orig_29,False,,Ativo,29,29,,,,,,,,,
30,orig_30,False,,Ativo,30,30,,,,,,,,,
31,orig_31,False,,Ativo,31,31,,,,,,,,,
32,orig_32,False,,Ativo,32,32,,,,,,,,,
33,orig_33,False,,Ativo,33,33,,,,,,,,,
34,orig_34,False,,Ativo,34,34,,,,,,,,,
35,orig_35,False,,Ativo,35,35,,,,,,,,,
36,orig_36,False,,Ativo,36,36,,,,,,,,,
37,orig_37,False,,Inativo,37,37,,,,,,,,,
38,orig_38,False,,Inativo,38,38,,,,,,,,,
39,orig_39,False,,Ativo,39,39,,,,,,,,,
40,orig_40,False,,Ativo,40,40,,,,,,,,,
41,orig_41,False,,Inativo,41,41,,,,,,,,,
42,orig_42,False,,Ativo,42,42,,,,,,,,,
43,orig_43,False,,Ativo,43,43,,,,,,,,,
44,orig_44,False,,Ativo,44,44,,,,,,,,,
45,orig_45,False,,Ativo,45,45,,,,,,,,,
46,orig_46,False,,Inativo,46,46,,,,,,,,,
