final_row_id,sample_id,is_synthetic,synthetic_id,class_label,original_row_id,original_source_index,mother_index,mother_original_row_id,mother_source_index,similarity_to_mother,similarity_bin,inside_similarity_interval,interval_deviation,rescue_assignment,candidate_global_id
0,orig_0,False,,Active,0,0,,,,,,,,,
1,orig_1,False,,Active,1,1,,,,,,,,,
2,orig_2,False,,Active,2,2,,,,,,,,,
3,orig_3,False,,Active,3,3,,,,,,,,,
4,orig_4,False,,Active,4,4,,,,,,,,,
5,orig_5,False,,Active,5,5,,,,,,,,,
6,orig_6,False,,Active,6,6,,,,,,,,,
7,orig_7,False,,Active,7,7,,,,,,,,,
8,orig_8,False,,Active,8,8,,,,,,,,,
9,orig_9,False,,Active,9,9,,,,,,,,,
10,orig_10,False,,Active,10,10,,,,,,,,,
11,orig_11,False,,Active,11,11,,,,,,,,,
12,orig_12,False,,Active,12,12,,,,,,,,,
13,orig_13,False,,Inactive,13,13,,,,,,,,,
14,orig_14,False,,Active,14,14,,,,,,,,,
15,orig_15,False,,Active,15,15,,,,,,,,,
16,orig_16,False,,Inactive,16,16,,,,,,,,,
17,orig_17,False,,Active,17,17,,,,,,,,,
18,orig_18,False,,Active,18,18,,,,,,,,,
19,orig_19,False,,Inactive,19,19,,,,,,,,,
20,orig_20,False,,Active,20,20,,,,,,,,,
21,orig_21,False,,Active,21,21,,,,,,,,,
22,orig_22,False,,Active,22,22,,,,,,,,,
23,orig_23,False,,Inactive,23,23,,,,,,,,,
24,orig_24,False,,Active,24,24,,,,,,,,,
25,orig_25,False,,Active,25,25,,,,,,,,,
26,orig_26,False,,Active,26,26,,,,,,,,,
27,orig_27,False,,Active,27,27,,,,,,,,,
28,orig_28,False,,Active,28,28,,,,,,,,,
29,orig_29,False,,Active,29,29,,,,,,,,,
30,orig_30,False,,Active,30,30,,,,,,,,,
31,orig_31,False,,Active,31,31,,,,,,,,,
32,orig_32,False,,Active,32,32,,,,,,,,,
33,orig_33,False,,Active,33,33,,,,,,,,,
34,orig_34,False,,Active,34,34,,,,,,,,,
35,orig_35,False,,Active,35,35,,,,,,,,,
36,orig_36,False,,Active,36,36,,,,,,,,,
37,orig_37,False,,Inactive,37,37,,,,,,,,,
38,orig_38,False,,Inactive,38,38,,,,,,,,,
39,orig_39,False,,Active,39,39,,,,,,,,,
40,orig_40,False,,Active,40,40,,,,,,,,,
41,orig_41,False,,Inactive,41,41,,,,,,,,,
42,orig_42,False,,Active,42,42,,,,,,,,,
43,orig_43,False,,Active,43,43,,,,,,,,,
44,orig_44,False,,Active,44,44,,,,,,,,,
45,orig_45,False,,Active,45,45,,,,,,,,,
46,orig_46,False,,Inactive,46,46,,,,,,,,,
47,orig_47,False,,Inactive,47,47,,,,,,,,,
48,orig_48,False,,Inactive,48,48,,,,,,,,,
49,orig_49,False,,Active,49,49,,,,,,,,,
50,orig_50,False,,Inactive,50,50,,,,,,,,,
51,orig_51,False,,Inactive,51,51,,,,,,,,,
52,orig_52,False,,Active,52,52,,,,,,,,,
53,orig_53,False,,Inactive,53,53,,,,,,,,,
54,orig_54,False,,Active,54,54,,,,,,,,,
55,orig_55,False,,Active,55,55,,,,,,,,,
56,orig_56,False,,Inactive,56,56,,,,,,,,,
57,orig_57,False,,Active,57,57,,,,,,,,,
58,orig_58,False,,Active,58,58,,,,,,,,,
59,orig_59,False,,Active,59,59,,,,,,,,,
60,orig_60,False,,Active,60,60,,,,,,,,,
61,orig_61,False,,Active,61,61,,,,,,,,,
62,orig_62,False,,Inactive,62,62,,,,,,,,,
63,orig_63,False,,Active,63,63,,,,,,,,,
64,orig_64,False,,Inactive,64,64,,,,,,,,,
65,orig_65,False,,Active,65,65,,,,,,,,,
66,orig_66,False,,Active,66,66,,,,,,,,,
67,orig_67,False,,Inactive,67,67,,,,,,,,,
68,orig_68,False,,Active,68,68,,,,,,,,,
69,orig_69,False,,Active,69,69,,,,,,,,,
70,orig_70,False,,Active,70,70,,,,,,,,,
71,orig_71,False,,Active,71,71,,,,,,,,,
